City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Abha,SA,2022-07-17 15:05:10,18.2164,42.5053,75.45,31,40,13.8
139,San Jose,US,2022-07-17 15:05:10,37.3394,-121.895,71.53,80,0,0.0
140,Tignere,CM,2022-07-17 15:05:11,7.3667,12.65,67.3,92,100,2.46
141,Thompson,CA,2022-07-17 15:04:25,55.7435,-97.8558,76.17,59,7,7.43
142,Wukari,NG,2022-07-17 15:05:11,7.85,9.7833,82.65,63,100,3.94
143,Santa Marta,CO,2022-07-17 15:05:12,11.2408,-74.199,84.52,72,91,7.74
144,Ambon,ID,2022-07-17 15:05:12,-3.6954,128.1814,77.23,15,75,4.61
145,Upernavik,GL,2022-07-17 15:05:13,72.7868,-56.1549,41.38,86,88,13.15
146,Vaini,TO,2022-07-17 15:05:13,-21.2,-175.2,73.56,88,20,6.91
147,Bergerac,FR,2022-07-17 15:05:14,44.8333,0.5,101.88,20,0,5.75
148,Sabha,LY,2022-07-17 15:05:14,27.0377,14.4283,96.89,10,0,12.33
149,Taoudenni,ML,2022-07-17 15:05:15,22.6783,-3.9836,114.31,9,53,6.51
150,Trat,TH,2022-07-17 15:05:15,12.5,102.5,84.87,89,100,2.98
151,Port Alfred,ZA,2022-07-17 15:05:15,-33.5906,26.891,78.19,37,4,1.01
152,Laguna,US,2022-07-17 15:05:16,38.421,-121.4238,83.17,60,0,5.75
153,Mar Del Plata,AR,2022-07-17 15:02:57,-38.0023,-57.5575,52.95,48,0,19.57
154,Lavrentiya,RU,2022-07-17 15:05:16,65.5833,-171.0,46.2,94,100,10.13
155,Birzai,LT,2022-07-17 15:05:17,56.2,24.75,63.45,63,100,11.56
156,Rozhyshche,UA,2022-07-17 15:05:17,50.9154,25.2691,62.13,67,58,14.38
157,Saint Anthony,US,2022-07-17 15:05:18,45.0205,-93.218,82.94,69,0,6.91
158,Oussouye,SN,2022-07-17 15:05:18,12.485,-16.5469,88.16,58,49,11.95
159,Asfi,MA,2022-07-17 15:05:18,32.2994,-9.2372,74.59,74,22,18.05
160,Smirnykh,RU,2022-07-17 15:05:19,49.75,142.8333,52.93,98,100,1.28
161,Belmonte,BR,2022-07-17 15:05:19,-15.8631,-38.8828,79.29,61,34,6.78
162,Kahului,US,2022-07-17 15:03:47,20.8947,-156.47,76.84,84,0,20.71
163,Alamogordo,US,2022-07-17 15:00:24,32.8995,-105.9603,84.0,31,0,4.61
164,Ixtapa,MX,2022-07-17 15:05:20,20.7,-105.2,79.23,94,100,2.3
165,Severodvinsk,RU,2022-07-17 15:05:20,64.5635,39.8302,68.11,59,97,4.72
166,Asosa,ET,2022-07-17 15:05:21,10.0667,34.5333,65.71,91,100,1.52
167,Dikson,RU,2022-07-17 15:05:21,73.5069,80.5464,46.49,76,46,8.97
168,Nikolskoye,RU,2022-07-17 15:05:21,59.7035,30.7861,64.87,78,96,9.28
169,Paamiut,GL,2022-07-17 15:05:22,61.994,-49.6678,42.12,89,100,8.81
170,Sompeta,IN,2022-07-17 15:05:22,18.9333,84.6,78.62,93,100,12.91
171,Bambanglipuro,ID,2022-07-17 15:05:23,-7.95,110.2833,76.51,85,100,7.02
172,Leningradskiy,RU,2022-07-17 15:05:23,69.3833,178.4167,30.42,82,91,22.59
173,Sechura,PE,2022-07-17 15:05:23,-5.5569,-80.8222,68.83,66,6,11.52
174,Pingliang,CN,2022-07-17 15:05:24,35.5392,106.6861,71.46,43,91,5.73
175,Asyut,EG,2022-07-17 15:05:24,27.181,31.1837,99.81,13,3,17.52
176,Bandarbeyla,SO,2022-07-17 15:05:25,9.4942,50.8122,82.78,59,26,33.6
177,Touros,BR,2022-07-17 15:05:25,-5.1989,-35.4608,82.96,67,58,17.52
178,Port Lincoln,AU,2022-07-17 15:05:25,-34.7333,135.8667,52.57,66,99,10.16
179,Port Blair,IN,2022-07-17 15:05:47,11.6667,92.75,81.84,84,100,11.03
180,Vostok,RU,2022-07-17 15:06:26,46.4856,135.8833,54.07,97,92,3.91
181,East London,ZA,2022-07-17 15:01:36,-33.0153,27.9116,74.95,43,16,10.02
182,Hofn,IS,2022-07-17 15:03:12,64.2539,-15.2082,60.82,67,75,12.66
183,Atambua,ID,2022-07-17 15:06:27,-9.1061,124.8925,68.14,85,23,5.12
184,Kirakira,SB,2022-07-17 15:06:27,-10.4544,161.9205,78.94,80,23,11.27
185,Dawei,MM,2022-07-17 15:06:28,14.0833,98.2,78.33,89,43,2.33
186,Pangnirtung,CA,2022-07-17 15:06:28,66.1451,-65.7125,49.71,65,56,3.47
187,Arman,RU,2022-07-17 15:06:28,59.7,150.1667,53.58,95,11,3.65
188,Kilindoni,TZ,2022-07-17 15:06:29,-7.9139,39.6668,76.64,74,65,19.35
189,Celestun,MX,2022-07-17 15:06:29,20.8667,-90.4,84.51,61,13,4.56
190,Raton,US,2022-07-17 15:06:29,36.9034,-104.4391,74.01,57,0,3.44
191,Kupang,ID,2022-07-17 15:06:30,-10.1667,123.5833,72.91,78,0,9.57
192,Orange Cove,US,2022-07-17 15:06:30,36.6244,-119.3137,94.6,51,0,4.61
193,Worthington,US,2022-07-17 15:06:31,40.0931,-83.018,71.17,97,100,1.01
194,Salta,AR,2022-07-17 15:06:31,-24.7859,-65.4117,52.57,52,0,4.0
195,Shingu,JP,2022-07-17 15:06:31,33.7333,135.9833,75.06,87,100,5.35
196,Kurilsk,RU,2022-07-17 15:06:32,45.2333,147.8833,56.28,97,100,18.88
197,Ilebo,CD,2022-07-17 15:06:32,-4.3167,20.5833,85.75,42,100,2.3
198,Tutoia,BR,2022-07-17 15:06:33,-2.7619,-42.2744,86.86,56,5,7.61
199,Svetlyy,RU,2022-07-17 15:06:33,54.675,20.1347,66.96,66,80,13.24
200,Venado Tuerto,AR,2022-07-17 15:06:33,-33.7456,-61.9688,50.77,38,1,16.46
201,Svetlaya,RU,2022-07-17 15:06:34,46.5389,138.3297,58.3,91,100,12.68
202,Tarauaca,BR,2022-07-17 15:06:34,-8.1614,-70.7656,81.68,82,55,2.3
203,Porto Novo,BJ,2022-07-17 15:06:35,6.4965,2.6036,82.76,64,55,11.12
204,Vulcan,RO,2022-07-17 15:06:35,45.3833,23.2667,72.07,24,0,11.74
205,Port Arthur,CN,2022-07-17 15:06:35,38.8,121.2667,79.02,55,1,4.99
206,Sertanopolis,BR,2022-07-17 15:02:31,-23.0586,-51.0364,75.76,56,100,4.27
207,Xichang,CN,2022-07-17 15:06:36,27.8964,102.2634,72.12,85,98,2.37
208,Tuy Hoa,VN,2022-07-17 15:06:36,13.0833,109.3,81.05,83,100,5.73
209,Minudasht,IR,2022-07-17 15:06:37,37.2289,55.3747,96.3,32,0,12.71
210,Marrakesh,MA,2022-07-17 15:06:37,31.6315,-8.0083,100.47,28,40,6.91
211,Monywa,MM,2022-07-17 15:06:38,22.1167,95.1333,93.74,46,100,16.84
212,Port Hawkesbury,CA,2022-07-17 15:06:38,45.6169,-61.3485,80.89,50,100,13.0
213,Katsuura,JP,2022-07-17 15:06:38,35.1333,140.3,77.2,91,32,17.05
214,Ucluelet,CA,2022-07-17 15:06:39,48.9329,-125.5528,58.08,91,81,1.9
215,Santa Barbara,US,2022-07-17 15:06:39,34.7333,-120.0343,78.35,27,0,1.99
216,Olafsvik,IS,2022-07-17 15:06:40,64.8945,-23.7142,51.17,82,79,3.62
217,Moron,AR,2022-07-17 15:06:40,-34.6534,-58.6198,54.97,60,0,10.47
218,Ordu,TR,2022-07-17 15:05:14,40.9086,37.6845,64.9,83,48,5.79
219,Barrow,US,2022-07-17 15:04:17,71.2906,-156.7887,35.62,93,100,17.27
220,Guayaramerin,BO,2022-07-17 15:06:41,-10.8368,-65.3614,94.17,42,32,0.76
221,Chicama,PE,2022-07-17 15:06:41,-7.8447,-79.1469,59.54,67,37,6.55
222,Kavaratti,IN,2022-07-17 15:06:42,10.5669,72.642,82.38,81,99,17.36
223,Fairbanks,US,2022-07-17 15:05:33,64.8378,-147.7164,57.16,78,75,4.61
224,Bani,DO,2022-07-17 15:06:42,18.2833,-70.3333,86.86,60,4,15.55
225,Lokoja,NG,2022-07-17 15:07:43,7.8024,6.743,82.98,68,100,6.11
226,Storm Lake,US,2022-07-17 15:07:43,42.6411,-95.2097,76.35,83,0,8.05
227,Miramar,US,2022-07-17 15:07:43,25.9873,-80.2323,87.03,80,20,11.5
228,Constitucion,CL,2022-07-17 15:03:24,-35.3333,-72.4167,49.5,85,100,12.19
229,Selfoss,IS,2022-07-17 15:07:44,63.9331,-20.9971,56.62,71,76,7.09
230,Altay,CN,2022-07-17 15:07:44,47.8667,88.1167,68.18,48,51,2.89
231,Norman Wells,CA,2022-07-17 15:07:45,65.282,-126.8329,59.56,86,98,0.85
232,Butaritari,KI,2022-07-17 15:07:45,3.0707,172.7902,82.17,71,100,9.62
233,Vila Franca Do Campo,PT,2022-07-17 15:07:46,37.7167,-25.4333,70.21,68,55,6.51
234,Catuday,PH,2022-07-17 15:07:46,16.2923,119.8062,79.61,85,100,4.52
235,Am Timan,TD,2022-07-17 15:07:46,11.0297,20.2827,81.12,69,97,7.34
236,Acari,PE,2022-07-17 15:07:47,-15.4311,-74.6158,68.97,59,54,6.31
237,Diego De Almagro,CL,2022-07-17 15:07:47,-26.3667,-70.05,65.17,11,0,3.87
238,Bauchi,NG,2022-07-17 15:07:48,10.5,10.0,70.39,93,100,2.42
239,Myitkyina,MM,2022-07-17 15:07:48,25.3833,97.4,77.85,95,32,0.94
240,Kristianstad,SE,2022-07-17 15:07:48,56.0313,14.1524,70.95,49,40,14.97
241,Amahai,ID,2022-07-17 15:07:49,-3.3333,128.9167,77.18,90,99,8.77
242,Berlevag,NO,2022-07-17 15:04:47,70.8578,29.0864,58.95,67,100,6.91
243,Rafaela,AR,2022-07-17 15:07:49,-31.2503,-61.4867,57.0,46,0,3.0
244,Auki,SB,2022-07-17 15:07:50,-8.7676,160.7034,76.71,86,28,3.65
245,Souillac,MU,2022-07-17 15:07:50,-20.5167,57.5167,69.01,78,34,20.62
246,Inta,RU,2022-07-17 15:07:50,66.0317,60.1659,72.7,63,69,10.63
247,Hit,IQ,2022-07-17 15:07:51,33.6416,42.8251,107.26,10,0,15.52
248,Port Macquarie,AU,2022-07-17 15:07:51,-31.4333,152.9167,52.9,76,37,7.81
249,Buraydah,SA,2022-07-17 15:07:52,26.326,43.975,104.38,7,92,7.54
250,Haines Junction,CA,2022-07-17 15:07:52,60.7522,-137.5108,49.73,82,100,6.51
251,Klaksvik,FO,2022-07-17 15:07:52,62.2266,-6.589,50.92,86,74,23.49
252,Kedrovyy,RU,2022-07-17 15:07:53,56.1667,91.8167,64.87,88,88,5.28
253,Sabang,ID,2022-07-17 15:07:53,5.8933,95.3214,83.08,72,60,5.37
254,Ilulissat,GL,2022-07-17 15:07:53,69.2167,-51.1,53.62,47,20,4.61
255,Talnakh,RU,2022-07-17 15:07:54,69.4865,88.3972,65.21,52,100,3.36
256,Fukue,JP,2022-07-17 15:07:54,32.6881,128.8419,79.61,83,100,11.72
257,Norrtalje,SE,2022-07-17 15:07:55,59.758,18.705,68.43,43,87,2.98
258,Tual,ID,2022-07-17 15:07:55,-5.6667,132.75,78.94,80,98,22.08
259,High Level,CA,2022-07-17 15:07:56,58.5169,-117.136,57.31,100,40,2.3
260,Mabaruma,GY,2022-07-17 15:07:56,8.2,-59.7833,86.49,64,18,3.78
261,Belyy Yar,RU,2022-07-17 15:07:56,53.6039,91.3903,69.69,68,0,17.9
262,Itacoatiara,BR,2022-07-17 15:07:57,-3.1431,-58.4442,91.44,47,43,4.56
263,Meulaboh,ID,2022-07-17 15:07:57,4.1363,96.1285,79.36,81,91,1.83
264,Deniliquin,AU,2022-07-17 15:07:58,-35.5333,144.9667,40.98,95,4,8.43
265,Morag,PL,2022-07-17 15:07:58,53.9171,19.926,66.99,52,74,8.01
266,Mahibadhoo,MV,2022-07-17 15:07:58,3.7833,72.9667,82.74,78,100,17.05
267,Jimenez,MX,2022-07-17 15:04:15,28.3333,-105.4,84.42,34,62,6.46
268,Bud,US,2022-07-17 15:07:59,39.447,-86.1758,75.22,94,100,13.33
269,Muros,ES,2022-07-17 15:07:59,42.7762,-9.0603,76.08,65,52,4.76
270,Norwood,US,2022-07-17 15:08:00,42.1945,-71.1995,87.71,61,0,5.75
271,Wexford,IE,2022-07-17 15:08:00,52.3342,-6.4575,75.22,71,85,12.41
272,Isfana,KG,2022-07-17 15:08:00,39.8386,69.5306,81.16,24,0,1.81
273,Coihaique,CL,2022-07-17 15:09:01,-45.5752,-72.0662,39.15,75,75,5.75
274,Victoria,HK,2022-07-17 15:09:01,22.2855,114.1577,87.85,83,100,11.99
275,Cabedelo,BR,2022-07-17 15:09:02,-6.9811,-34.8339,81.27,80,47,18.72
276,Acapulco,MX,2022-07-17 15:09:02,16.8634,-99.8901,80.42,78,40,5.75
