City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Aguimes,ES,27.9054,-15.4461,68.63,83,20,31.07,few clouds
281,Peruibe,BR,-24.32,-46.9983,64.31,95,34,3.15,scattered clouds
282,Santa Rosa,PH,14.3122,121.1114,85.08,77,20,7.05,few clouds
283,De-Kastri,RU,51.4667,140.7833,59.25,91,100,4.83,overcast clouds
284,Tombouctou,ML,20.0,-3.0,90.16,39,17,7.14,few clouds
285,Havelock,US,34.8791,-76.9013,83.01,92,0,12.66,clear sky
286,Cabedelo,BR,-6.9811,-34.8339,74.98,85,100,6.62,overcast clouds
287,Shingu,JP,33.7333,135.9833,83.52,77,64,2.95,broken clouds
288,Carnarvon,AU,-24.8667,113.6333,64.2,60,0,19.06,clear sky
289,Waipawa,NZ,-41.4122,175.5153,46.96,73,94,12.28,overcast clouds
290,Namibe,AO,-15.1961,12.1522,61.61,89,0,5.03,clear sky
291,Kahului,US,20.8947,-156.47,87.82,62,40,24.16,scattered clouds
292,Garwa,IN,24.1833,83.8167,83.91,74,100,4.05,overcast clouds
293,Golkoy,TR,40.6875,37.6178,51.21,75,0,4.32,clear sky
294,Kruisfontein,ZA,-34.0033,24.7314,49.19,76,100,6.35,overcast clouds
295,Jaguarari,BR,-10.2639,-40.1958,61.32,92,71,6.96,broken clouds
296,Te Anau,NZ,-45.4167,167.7167,44.46,85,60,1.14,broken clouds
297,Labuan,MY,5.2767,115.2417,80.89,75,99,3.6,overcast clouds
298,Kazanskoye,RU,55.6448,69.235,60.85,84,62,10.65,broken clouds
299,Newport,GB,51.5877,-2.9984,66.25,77,100,7.43,overcast clouds
300,Nantucket,US,41.2835,-70.0995,77.02,94,100,6.91,mist
301,Rio Gallegos,AR,-51.6226,-69.2181,30.43,82,8,23.42,clear sky
302,Prince Rupert,CA,54.3161,-130.3201,60.48,77,94,4.63,overcast clouds
303,Kalmunai,LK,7.4167,81.8167,80.13,81,84,5.64,broken clouds
304,Lagoa,PT,39.05,-27.9833,70.93,91,100,5.66,overcast clouds
305,Rabo De Peixe,PT,37.8,-25.5833,70.29,76,20,3.44,few clouds
306,Amuntai,ID,-2.4177,115.2494,85.8,65,100,2.75,overcast clouds
307,Tra Vinh,VN,9.9347,106.3453,82.94,70,12,3.67,few clouds
308,Broken Hill,AU,-31.95,141.4333,59.2,57,98,15.68,overcast clouds
309,Souillac,MU,-20.5167,57.5167,69.75,69,29,14.05,scattered clouds
310,Mahon,ES,39.8885,4.2658,72.16,88,0,3.44,clear sky
311,Canala,NC,-21.5333,165.95,76.87,80,100,8.79,overcast clouds
312,Lata,PT,40.1629,-8.3327,57.51,95,42,0.96,scattered clouds
313,Tres Lagoas,BR,-20.7511,-51.6783,71.01,39,53,4.99,broken clouds
314,Carbonia,IT,39.1672,8.5222,77.02,45,0,3.8,clear sky
315,Praia,CV,14.9215,-23.5087,76.15,83,100,3.22,overcast clouds
316,Sinegorskiy,RU,48.0139,40.8447,61.25,73,55,6.11,broken clouds
317,Kamloops,CA,50.6665,-120.3192,89.74,36,100,7.0,overcast clouds
318,Hami,CN,42.8,93.45,82.06,20,0,0.76,clear sky
319,Vestmannaeyjar,IS,63.4427,-20.2734,52.05,96,100,6.53,overcast clouds
320,Altus,US,34.6381,-99.334,90.91,40,0,11.5,clear sky
321,Ngunguru,NZ,-35.6167,174.5,55.26,74,40,8.81,scattered clouds
322,Verkhnevilyuysk,RU,63.4453,120.3167,64.58,72,60,6.11,broken clouds
323,Kysyl-Syr,RU,63.8986,122.7617,59.29,85,100,7.23,overcast clouds
324,Kyzyl-Suu,KG,42.3414,78.0056,70.57,37,0,1.3,clear sky
325,Port Blair,IN,11.6667,92.75,80.46,82,100,5.46,overcast clouds
326,Iisalmi,FI,63.5592,27.1907,60.33,92,90,3.96,overcast clouds
327,Oytal,KZ,42.9057,73.2697,85.57,19,0,2.86,clear sky
328,Ahipara,NZ,-35.1667,173.1667,59.34,62,100,7.52,overcast clouds
329,Fairbanks,US,64.8378,-147.7164,66.31,69,100,5.75,light rain
330,Sarkand,KZ,45.41,79.9186,88.83,21,4,1.48,clear sky
331,Minot,US,48.2325,-101.2963,73.62,53,0,6.91,clear sky
332,Kendari,ID,-3.945,122.4989,79.86,83,91,5.5,overcast clouds
333,Zhigansk,RU,66.7697,123.3711,59.86,89,100,18.52,overcast clouds
334,Laguna,US,38.421,-121.4238,101.44,27,0,12.66,clear sky
335,Houma,US,29.5958,-90.7195,82.0,88,0,0.0,clear sky
